"tr.tip.label","dates","tip_depth"
"FJ391453_2002.91944444444",2002.91944444444,0.03622851
"FJ391456_2002.96388888889",2002.96388888889,0.03224969
"FJ391451_2002.89166666667",2002.89166666667,0.03622851
"FJ391447_2000.21944444444",2000.21944444444,0.04447538
"FJ391374_2001.04722222222",2001.04722222222,0.06216318
"FJ391438_2007.07777777778",2007.07777777778,0.02908559
"FJ391426_2007.03055555556",2007.03055555556,0.03280622
"FJ391436_2007.03888888889",2007.03888888889,0.03281219
"FJ391378_2000.12777777778",2000.12777777778,0.04188311
"FJ391419_2006.91666666667",2006.91666666667,0.0293984
"FJ391424_2007.00555555556",2007.00555555556,0.03338366
"FJ391432_2007.17777777778",2007.17777777778,0.03338366
"FJ391442_2007.06944444444",2007.06944444444,0.02523239
"FJ391443_2007.06111111111",2007.06111111111,0.01260707
"FJ391408_2005.01388888889",2005.01388888889,0.01155589
"FJ391440_2007.20833333333",2007.20833333333,0
"FJ391399_2002.23611111111",2002.23611111111,0.03321557
"FJ391391_2001.26111111111",2001.26111111111,0.05012635
"FJ391388_2001.2",2001.2,0.04196544
"FJ391389_2001.16666666667",2001.16666666667,0.03772623
"FJ391416_2006.25",2006.25,0.02917122
"FJ391435_2007.03888888889",2007.03888888889,0.03357322
"FJ391404_2004.12777777778",2004.12777777778,0.03407062
"FJ391407_2004.25",2004.25,0.03424915
"FJ391379_2000.21944444444",2000.21944444444,0.04219524
"FJ391394_2001.91666666667",2001.91666666667,0.03822983
"FJ391376_2000.03333333333",2000.03333333333,0.04612641
"FJ391256_2001.11388888889",2001.11388888889,0.0473874969199671
"FJ391295_2004.1",2004.1,0.0464176669199671
"FJ391272_2002.07777777778",2002.07777777778,0.0464176669199671
"FJ391299_2004.23611111111",2004.23611111111,0.0464176669199671
"FJ391257_2001.125",2001.125,0.0464176669199671
"FJ391276_2002.19722222222",2002.19722222222,0.0464176669199671
"FJ391298_2004.19722222222",2004.19722222222,0.0388796569199671
"FJ391291_2004.01111111111",2004.01111111111,0.0351028369199671
"FJ391361_2007.15555555556",2007.15555555556,0.0310652969199671
"FJ391309_2005",2005,0.0273901469199671
"FJ391314_2005.04722222222",2005.04722222222,0.0305445269199671
"FJ391342_2006.18611111111",2006.18611111111,0.0464176669199671
"FJ391249_2000.94722222222",2000.94722222222,0.0464176669199671
"FJ391371_2007.06388888889",2007.06388888889,0.0388386769199671
"FJ391286_2002.99444444444",2002.99444444444,0.0464176669199671
"FJ391321_2005.07777777778",2005.07777777778,0.0464176669199671
"FJ391268_2001.27222222222",2001.27222222222,0.0464176669199671
"FJ391246_2000.18333333333",2000.18333333333,0.0464176669199671
"FJ391294_2004.06111111111",2004.06111111111,0.0310102069199671
"FJ391290_2003.95833333333",2003.95833333333,0.0310102069199671
"FJ391365_2007.08333333333",2007.08333333333,0.0230071869199671
"FJ391259_2001.14166666667",2001.14166666667,0.0426269869199671
"FJ391280_2002.86111111111",2002.86111111111,0.0194068169199671
"FJ391283_2002.94722222222",2002.94722222222,0.0312676069199671
"FJ391355_2007.11388888889",2007.11388888889,0.0313223669199671
"FJ391334_2005.13888888889",2005.13888888889,0.0388550069199671
"FJ391287_2003.00833333333",2003.00833333333,0.0425832769199671
"FJ391275_2002.125",2002.125,0.0425834569199671
"FJ391245_2000.13888888889",2000.13888888889,0.0502157269199671
"FJ391239_2000.08888888889",2000.08888888889,0.0502157269199671
"FJ391238_2000.04722222222",2000.04722222222,0.0502157269199671
"FJ391253_2001.06388888889",2001.06388888889,0.0464232569199671
"FJ391367_2007.19444444444",2007.19444444444,0.0222099769199671
"FJ391368_2007.16666666667",2007.16666666667,0.0222099769199671
"FJ391319_2005",2005,0.0268797169199671
"FJ391308_2005.00833333333",2005.00833333333,0.0268797069199671
"FJ391341_2006.18333333333",2006.18333333333,0.0274092269199671
"FJ391303_2004.14722222222",2004.14722222222,0.0349778169199671
"FJ391292_2004.05555555556",2004.05555555556,0.0349778169199671
"FJ391271_2002.07777777778",2002.07777777778,0.0311228769199671
"FJ391281_2002.91111111111",2002.91111111111,0.0349778169199671
"FJ391459_2005.16666666667",2005.16666666667,0.0349778169199671
"FJ391254_2001.09444444444",2001.09444444444,0.0349778169199671
"FJ391270_2002.11944444444",2002.11944444444,0.0349778169199671
"FJ391344_2006.21111111111",2006.21111111111,0.0311126369199671
"FJ391241_2000.10277777778",2000.10277777778,0.0310998269199671
"FJ391328_2005.10555555556",2005.10555555556,0.0114255869199671
"FJ391356_2007.13611111111",2007.13611111111,0.0113833569199671
"FJ391372_2007.08333333333",2007.08333333333,0.0113833569199671
"FJ391329_2005.12222222222",2005.12222222222,0.0152944769199671
"FJ391332_2005.12222222222",2005.12222222222,0.0191569069199671
"FJ391315_2005.05277777778",2005.05277777778,0.0191569069199671
"FJ391322_2005.07777777778",2005.07777777778,0.0191534869199671
"FJ391317_2005",2005,0.0191569069199671
"FJ391337_2006.04166666667",2006.04166666667,0.0311495869199671
"FJ391347_2006.275",2006.275,0.0311475869199671
"FJ391274_2002.09722222222",2002.09722222222,0.0233508369199671
"FJ391237_2000.96388888889",2000.96388888889,0.0389133369199671
"FJ391252_2001.05",2001.05,0.0349963869199671
"FJ391340_2006.13333333333",2006.13333333333,0.0235300269199671
"FJ391261_2001.16666666667",2001.16666666667,0.0352142569199671
"FJ391266_2001.25",2001.25,0.0352043069199671
"FJ391260_2001.16944444444",2001.16944444444,0.0351966669199671
