"rerooted_tree.tip.label","dates","tip_heights"
"KT253295_2009",2009,0.1396018320323
"KT253299_2011",2011,0.1179195120323
"KT253268_2011",2011,0.1179195120323
"KT253264_2010",2010,0.1179195120323
"KT253314_2008",2008,0.1414422179677
"KT253313_2008",2008,0.1414422179677
"KT253315_2008",2008,0.1414422179677
"KT253317_2008",2008,0.1414422179677
"KT253316_2008",2008,0.1414422179677
"KT253279_2011",2011,0.1096667279677
"KT253276_2011",2011,0.1086738579677
"KT253288_2011",2011,0.1086738579677
"KT253280_2011",2011,0.1099040479677
"KT253275_2011",2011,0.1099040479677
"KT253298_2011",2011,0.1212878679677
"KT253289_2010",2010,0.1115447979677
"KT253261_2010",2010,0.1115447979677
"KT253290_2010",2010,0.1115447979677
"KT253266_2010",2010,0.1128299679677
"KT253294_2009",2009,0.1115511479677
"KT253274_2010",2010,0.1024202179677
"KT253259_2010",2010,0.1024202179677
"KT253260_2010",2010,0.1024202179677
"KT253297_2011",2011,0.1291428179677
"KT253273_2010",2010,0.1323280679677
"KT253293_2009",2009,0.1166382420323
"KT253287_2011",2011,0.1033007120323
"KT253265_2011",2011,0.1033007120323
"KT253267_2011",2011,0.1033007120323
"KT253285_2011",2011,0.1033007120323
"KT253291_2011",2011,0.1033007120323
"KT253296_2011",2011,0.1033007120323
"KT253262_2011",2011,0.1033007120323
"KT253292_2011",2011,0.1033007120323
"KT253283_2011",2011,0.1033007120323
"KT253281_2011",2011,0.1033007120323
"KT253284_2011",2011,0.1033007120323
"KT253263_2011",2011,0.1033007120323
"KT253286_2011",2011,0.1033007120323
"KT253282_2011",2011,0.1033007120323
"KT253278_2010",2010,0.1304614320323
"KT253277_2010",2010,0.1304614320323
